Student_id,Height
1,73.84701702
2,68.78190405
3,74.11010539
4,71.7309784
5,69.88179586
6,67.25301569
7,68.78508125
8,68.34851551
9,67.01894966
10,63.45649398
11,71.19538228
12,71.64080512
13,64.76632913
14,69.2830701
15,69.24373223
16,67.6456197
17,72.41831663
18,63.97432572
19,69.6400599
20,67.93600485
21,67.91505019
22,69.43943987
23,66.14913196
24,75.20597361
25,67.89319634
26,68.1440328
27,69.08963143
28,72.80084352
29,67.42124228
30,68.49641536
31,68.61811055
32,74.03380762
33,71.52821604
34,69.1801611
35,69.57720237
36,70.40092889
37,69.07617117
38,67.19352328
39,65.80731565
40,64.30418789
41,67.97433623
42,72.18942596
43,65.27034552
44,66.09017738
45,67.51032152
46,70.10478626
47,68.25183644
48,72.17270912
49,69.17985762
50,72.87036015
51,64.78258298
52,70.18354989
53,68.49145025
54,67.33083088
55,66.99094408
56,66.4995499
57,68.35305665
58,70.77445907
59,71.21592367
60,70.01336535
61,71.40318222
62,69.55200509
63,73.81853456
64,66.99688275
65,71.41846589
66,65.27930021
67,68.27419147
68,72.76536995
69,68.0993798
70,68.89670607
71,69.28950996
72,70.52322452
73,69.66372523
74,67.59526881
75,72.50812038
76,71.2529856
77,71.80918689
78,72.24516548
79,66.51262766
80,66.029034
81,67.57715394
82,68.2465686
83,73.826127
84,69.80246436
85,65.95957778
86,71.07901758
87,66.59619654
88,68.95153509
89,68.24446179
90,72.31682512
91,71.81542045
92,65.23704952
93,70.64053009
94,64.7319256
95,67.10355118
96,65.11748489
97,71.70123402
98,66.83287821
99,66.47127526
100,69.41152622
101,70.05217747
102,66.74360465
103,66.27432912
104,68.32844799
105,70.0758882
106,68.73298815
107,67.55605126
108,66.25363253
109,69.18220268
110,67.60910494
111,69.29273802
112,68.19068401
113,71.6070858
114,69.19685751
115,67.26196098
116,73.6851934
117,69.53721501
118,68.31155984
119,67.73896347
120,71.7057626
121,63.6322646
122,68.72119846
123,66.94934165
124,62.70698974
125,72.25840892
126,70.90865306
127,67.6098436
128,70.80155896
129,69.30476905
130,66.24289834
131,67.49219298
132,65.80624829
133,71.44370566
134,68.46440582
135,63.9879246
136,71.00189769
137,68.13972419
138,68.39540025
139,68.09621975
140,68.14059036
141,68.86009031
142,66.14885254
143,66.20603205
144,67.43212021
145,69.47110603
146,70.51585969
147,71.33837604
148,71.00194477
149,66.20234771
150,72.54330705
151,67.47935176
152,65.35041056
153,70.84406242
154,69.93847526
155,64.73981548
156,69.30840288
157,68.83846286
158,61.93732327
159,68.59333554
160,65.21857558
161,64.33364811
162,68.7489067
163,72.4896554
164,67.23393092
165,67.26360484
166,65.11850428
167,66.26282004
168,67.70167966
169,65.53069597
170,69.86896981
171,68.48187536
172,72.21396335
173,68.17953269
174,71.98120654
175,66.06513673
176,66.65616417
177,67.5994242
178,68.24594409
179,64.80862144
180,67.49221827
181,68.18073071
182,69.5533849
